Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2026-02-17 18:20:58,false,"Treadmill Running","2.06","216","00:24:29","124","145","1.2","155","163","11:55","9:49","--","--","0.91","9.7","8.7","303","--","261","0.0","253","322","3,786","-4","80.6","No","00:00:35.3","3","84.2","00:23:47","00:24:29","--","--"
Running,2026-02-15 14:16:17,false,"Chicago Running","1.23","155","00:12:40","142","168","2.2","155","179","10:18","7:23","26","20","0.95","9.0","8.5","282","10:33","289","0.0","281","422","2,038","-3","59.0","No","00:02:16.7","2","64.4","00:12:29","00:15:37","590","617"
Running,2026-02-15 12:37:56,false,"Chicago Running","6.87","861","01:03:05","157","191","3.8","157","241","9:11","5:12","72","52","1.09","8.3","9.0","271","9:12","332","0.0","323","609","10,066","-16","57.2","No","00:08:04.7","7","77.0","01:02:29","01:33:15","581","606"
Running,2026-02-15 12:09:52,false,"Chicago Running","2.31","313","00:21:40","164","189","3.1","153","243","9:24","6:50","16","20","1.10","8.3","9.0","275","9:26","333","0.0","317","546","3,348","-6","66.2","No","00:02:51.6","3","77.0","00:21:20","00:23:00","730","743"
Running,2026-02-14 19:57:40,false,"Chicago Running","0.93","116","00:08:10.4","155","174","2.2","154","173","8:46","6:19","7","--","1.19","8.3","9.8","271","7:53","349","0.0","336","498","1,298","-2","75.2","No","00:08:10.4","1","80.6","00:07:45","00:09:17.7","741","748"
Running,2026-02-14 15:29:37,false,"Chicago Running","2.28","278","00:19:36","158","185","3.0","153","176","8:35","5:57","3","3","1.21","8.1","9.7","266","8:36","355","0.0","345","547","3,082","-7","64.4","No","00:02:15.6","3","71.6","00:18:45","00:22:11","737","747"
Treadmill Running,2026-02-11 15:54:09,false,"Treadmill Running","3.01","380","00:33:22","141","164","2.7","153","210","11:04","9:08","--","--","0.98","9.4","9.1","300","--","280","0.0","271","338","5,094","-7","78.8","No","00:00:09.4","4","84.2","00:32:13","00:33:22","--","--"
Running,2026-02-06 15:57:06,false,"San Marcos Running","2.01","229","00:15:30","169","201","3.0","160","250","7:42","4:51","--","692","1.26","7.4","9.1","257","8:21","300","0.0","285","531","2,568","-5","69.8","No","00:00:05.7","3","78.8","00:15:24","00:16:08","888","1,589"
Running,2026-02-06 15:06:43,false,"San Marcos Running","2.24","359","00:25:49","165","185","3.2","143","234","11:33","7:46","656","56","0.96","9.0","8.5","287","9:24","363","0.0","343","528","3,806","-7","75.2","No","00:03:25.8","3","84.2","00:25:22","00:27:47","899","1,583"
Running,2026-02-05 15:08:40,false,"San Marcos Running","3.14","421","00:31:36","155","201","3.2","149","220","10:03","6:54","344","331","1.08","8.5","9.0","277","9:18","340","0.0","316","541","4,906","-7","73.4","No","00:01:20.1","4","84.2","00:30:51","00:35:33","626","904"
Treadmill Running,2026-02-04 17:42:43,false,"Treadmill Running","1.57","162","00:17:19","127","141","1.3","154","163","11:01","9:37","--","--","0.96","9.5","9.0","302","--","280","0.0","273","332","2,654","-2","71.6","No","00:05:53.9","2","78.8","00:17:02","00:17:19","--","--"
Treadmill Running,2026-02-02 16:56:14,false,"Treadmill Running","1.01","135","00:12:09","136","160","1.9","149","159","11:59","9:57","--","--","0.91","9.8","8.7","311","--","259","0.0","250","322","1,814","-2","77.0","No","00:00:08.1","2","80.6","00:12:02","00:12:09","--","--"
Treadmill Running,2026-02-01 21:17:53,false,"Treadmill Running","3.11","406","00:36:18","140","163","2.7","148","167","11:41","9:51","--","--","0.94","9.5","8.9","307","--","265","0.0","255","327","5,348","-5","73.4","No","00:01:06.0","4","84.2","00:35:15","00:36:18","--","--"
Track Running,2026-01-28 07:34:07,false,"Track Running","1,610","134","00:09:58.7","153","179","2.2","161","172","9:58","7:58","--","--","1.02","8.8","8.9","280","--","309","0.0","298","389","1,600","-2","73.4","No","00:00:00.7","9","78.8","00:09:39.9","00:09:59.5","625","629"
Track Running,2026-01-27 17:49:02,false,"Track Running","4,910","354","00:30:27","143","198","2.8","158","250","9:59","4:08","3","16","1.02","9.0","9.0","285","--","305","0.0","297","642","4,762","-5","69.8","No","00:00:01.0","24","78.8","00:29:53","00:31:01","545","558"
Running,2026-01-25 11:36:00,false,"Chicago Running","1.36","186","00:13:14","163","191","2.8","155","176","9:42","7:35","3","10","1.07","8.6","9.1","279","9:23","324","0.0","306","417","2,118","-2","66.2","No","00:03:27.8","2","77.0","00:13:09","00:13:24","591","604"
Treadmill Running,2026-01-24 10:10:33,false,"Treadmill Running","3.04","383","00:31:02","148","166","3.0","158","172","10:13","6:28","--","--","1.01","9.0","9.0","284","--","300","0.0","290","484","4,874","-10","71.6","No","00:00:24.2","4","82.4","00:30:15","00:31:02","--","--"
Treadmill Running,2026-01-21 18:40:35,false,"Treadmill Running","1.12","140","00:12:07","140","151","2.0","152","161","10:47","9:47","--","--","1.00","9.3","9.2","299","--","285","0.0","277","321","1,838","-2","80.6","No","00:01:14.8","2","86.0","00:11:52","00:12:07","--","--"
Running,2026-01-18 17:47:03,false,"Running","0.87","135","00:10:04","156","190","2.5","149","167","11:31","6:26","3","3","1.01","9.0","8.8","285","--","287","0.0","256","496","1,542","--","71.6","No","00:10:04","1","78.8","00:08:55","00:12:57","7,973","7,980"
Running,2026-01-14 09:03:48,false,"Cuauhtémoc Running","0.48","54","00:04:54.1","134","145","0.8","147","167","10:10","6:17","--","3","1.07","8.8","9.3","281","10:48","310","0.0","285","500","764","-1","69.8","No","00:04:54.1","1","71.6","00:04:33","00:04:58.7","6,520","6,528"
